recipe_name,ingredients,preperation_steps,vegan_friendly_(yes/no),nut-free_(yes/no),non-dairy_friendly_(yes/no),vegan_substitute,dairy_substitute,nut_substitute,dietary_tags,source_url,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,food_name,category,protein,carbs,fat,iron,vitamin_c,unnamed:_0,fat_(g),carb._(g),fiber_(g),sodium,protein_(g),beverage_category,beverage,beverage_prep,total_fat_(g),trans_fat_(g),saturated_fat_(g),sodium_(mg),total_carbohydrates_(g),cholesterol_(mg),dietary_fibre_(g),sugars_(g),vitamin_a_(%_dv),vitamin_c_(%_dv),calcium_(%_dv),iron_(%_dv),caffeine_(mg),item_name,protein_std,carbs_std,fat_std,fiber_std,sugar_std,calories_std
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,319.0,,"Mango, dried",Dried fruits,2.45,78.58,1.18,0.23,42.3,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango, dried",2.45,78.58,1.18,0.0,0.0,319.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,60.0,,"Mangos, raw",Fruits and Fruit Juices,0.82,15.0,0.38,0.16,36.4,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mangos, raw",0.82,15.0,0.38,0.0,0.0,60.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,51.0,,"Mango nectar, canned",Fruits and Fruit Juices,0.11,13.1,0.06,0.36,15.2,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango nectar, canned",0.11,13.1,0.06,0.0,0.0,51.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1340.0,,"Mango, dried, sweetened",Fruits and Fruit Juices,2.45,78.6,1.18,0.23,42.3,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango, dried, sweetened",2.45,78.6,1.18,0.0,0.0,1340.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,37.0,,"Beverages, V8 SPLASH Smoothies, Peach Mango",Beverages,1.22,7.76,0.0,0.15,24.5,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, V8 SPLASH Smoothies, Peach Mango",1.22,7.76,0.0,0.0,0.0,37.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,93.0,,"Yogurt, Greek, 2% fat, mango, CHOBANI",Dairy and Egg Products,7.64,11.8,1.69,0.03,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Yogurt, Greek, 2% fat, mango, CHOBANI",7.64,11.8,1.69,0.0,0.0,93.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,33.0,,"Beverages, V8 SPLASH Juice Drinks, Mango Peach",Beverages,0.0,8.23,0.0,0.0,24.7,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, V8 SPLASH Juice Drinks, Mango Peach",0.0,8.23,0.0,0.0,0.0,33.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,49.0,,"Beverages, V8 V-FUSION Juices, Peach Mango",Beverages,0.41,11.4,0.0,0.15,24.4,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, V8 V-FUSION Juices, Peach Mango",0.41,11.4,0.0,0.0,0.0,49.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,262.0,,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",Fruits and Fruit Juices,0.42,15.0,0.0,0.15,2.5,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",0.42,15.0,0.0,0.0,0.0,262.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,34.0,,"Salsa, red, homemade",Tomato-based condiments,1.44,6.74,0.19,0.42,1.9,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Salsa, red, homemade",1.44,6.74,0.19,0.0,0.0,34.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,59.0,,"Pear, raw",Pears,0.37,15.18,0.15,0.18,4.3,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, raw",0.37,15.18,0.15,0.0,0.0,59.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,60.0,,Pear nectar,Fruit drinks,0.11,15.76,0.01,0.26,1.1,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Pear nectar,0.11,15.76,0.01,0.0,0.0,60.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,262.0,,"Pear, dried",Dried fruits,1.87,69.7,0.63,2.1,7.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, dried",1.87,69.7,0.63,0.0,0.0,262.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,57.0,,"Pears, raw",Fruits and Fruit Juices,0.36,15.2,0.14,0.18,4.3,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pears, raw",0.36,15.2,0.14,0.0,0.0,57.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,42.0,,"Pear, Asian, raw",Pears,0.5,10.65,0.23,0.0,3.8,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, Asian, raw",0.5,10.65,0.23,0.0,0.0,42.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,59.0,,"Pear, canned, in syrup",Pears,0.18,15.15,0.05,0.2,0.9,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, canned, in syrup",0.18,15.15,0.05,0.0,0.0,59.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,52.0,,"Pear, canned, NFS",Pears,0.2,13.47,0.06,0.25,1.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, canned, NFS",0.2,13.47,0.06,0.0,0.0,52.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,176.0,,"Pears, asian, raw",Fruits and Fruit Juices,0.5,10.6,0.23,0.0,3.8,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pears, asian, raw",0.5,10.6,0.23,0.0,0.0,176.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,238.0,,"Pears, raw, bartlett",Fruits and Fruit Juices,0.38,15.1,0.16,0.17,4.4,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pears, raw, bartlett",0.38,15.1,0.16,0.0,0.0,238.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,172.0,,"Prickly pears, raw",Fruits and Fruit Juices,0.73,9.57,0.51,0.3,14.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Prickly pears, raw",0.73,9.57,0.51,0.0,0.0,172.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,45.0,,"Pear, canned, juice pack",Pears,0.23,11.79,0.07,0.29,1.1,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, canned, juice pack",0.23,11.79,0.07,0.0,0.0,45.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1100.0,,"Pears, dried, sulfured, uncooked",Fruits and Fruit Juices,1.87,69.7,0.63,2.1,7.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pears, dried, sulfured, uncooked",1.87,69.7,0.63,0.0,0.0,1100.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,62.0,,"Pears, raw, red anjou",Fruits and Fruit Juices,0.33,14.9,0.14,0.19,5.2,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pears, raw, red anjou",0.33,14.9,0.14,0.0,0.0,62.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,36.0,,"Strawberries, raw",Strawberries,0.64,7.96,0.22,0.26,59.6,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Strawberries, raw",0.64,7.96,0.22,0.0,0.0,36.0
