recipe_name,ingredients,preperation_steps,vegan_friendly_(yes/no),nut-free_(yes/no),non-dairy_friendly_(yes/no),vegan_substitute,dairy_substitute,nut_substitute,dietary_tags,source_url,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,food_name,category,iron,vitamin_c,unnamed:_0,fat_(g),carb._(g),fiber_(g),sodium,beverage_category,beverage,beverage_prep,total_fat_(g),trans_fat_(g),saturated_fat_(g),sodium_(mg),total_carbohydrates_(g),cholesterol_(mg),dietary_fibre_(g),sugars_(g),vitamin_a_(%_dv),vitamin_c_(%_dv),calcium_(%_dv),iron_(%_dv),caffeine_(mg),item_name
,,,,,,,,,,,0.17,14.8,0.15,0.0,0.0,61.0,,"Apple, raw",Apples,0.03,4.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Apple, raw"
,,,,,,,,,,,0.93,65.89,0.32,0.0,0.0,243.0,,"Apple, dried",Dried fruits,1.4,3.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Apple, dried"
,,,,,,,,,,,2.81,30.18,9.59,0.0,0.0,215.0,,"Crisp, apple",Cakes and pies,1.0,0.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Crisp, apple"
,,,,,,,,,,,0.32,22.7,3.08,0.0,0.0,113.0,,"Apple, baked",Apples,0.19,3.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Apple, baked"
,,,,,,,,,,,0.1,11.3,0.13,0.0,0.0,46.0,,Apple cider,Apple juice,0.12,0.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Apple cider
,,,,,,,,,,,2.05,33.56,8.66,0.0,0.0,217.0,,"Cobbler, apple",Cakes and pies,0.98,0.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Cobbler, apple"
,,,,,,,,,,,7.4,37.1,8.7,0.0,0.0,1060.0,,"Croissants, apple",Baked Products,1.1,0.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Croissants, apple"
,,,,,,,,,,,2.7,37.55,15.28,0.0,0.0,296.0,,"Pie, apple",Cakes and pies,1.23,0.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pie, apple"
,,,,,,,,,,,1.96,37.18,14.08,0.0,0.0,281.0,,"Strudel, apple",Cakes and pies,0.3,0.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Strudel, apple"
,,,,,,,,,,,0.1,26.1,0.1,0.0,0.0,100.0,,Apple pie filling,Apples,0.29,1.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Apple pie filling
,,,,,,,,,,,0.09,11.34,0.25,0.0,0.0,48.0,,"Apple juice, 100%",Apple juice,0.06,38.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Apple juice, 100%"
,,,,,,,,,,,1.45,12.2,14.24,0.0,0.0,180.0,,Apple salad with dressing,Other fruits and fruit salads,0.28,3.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Apple salad with dressing
,,,,,,,,,,,2.41,52.52,17.5,0.0,0.0,376.0,,"Cake or cupcake, apple",Cakes and pies,0.9,0.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Cake or cupcake, apple"
,,,,,,,,,,,0.39,42.5,0.3,0.0,0.0,173.0,,"Fruit butters, apple",Sweets,0.31,0.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Fruit butters, apple"
,,,,,,,,,,,0.6,5.7,0.3,0.0,0.0,105.0,,"Rose-apples, raw",Fruits and Fruit Juices,0.07,22.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Rose-apples, raw"
,,,,,,,,,,,0.85,8.59,16.02,0.0,0.0,181.0,,"Carrots, raw, salad with apples","Coleslaw, non-lettuce salads",0.16,6.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Carrots, raw, salad with apples"
,,,,,,,,,,,0.82,32.43,3.21,0.0,0.0,161.0,,"Banana, baked",Bananas,0.06,10.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Banana, baked"
,,,,,,,,,,,0.74,22.71,0.28,0.0,0.0,97.0,,"Banana, raw",Bananas,0.0,12.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Banana, raw"
,,,,,,,,,,,2.3,58.4,33.6,0.0,0.0,519.0,,Banana chips,Dried fruits,1.25,6.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Banana chips
,,,,,,,,,,,0.26,18.01,0.13,0.0,0.0,74.0,,Banana nectar,Fruit drinks,0.0,4.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Banana nectar
,,,,,,,,,,,2.57,28.0,4.26,0.0,0.0,160.0,,Banana pudding,Pudding,0.42,3.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Banana pudding
,,,,,,,,,,,2.42,32.59,6.88,0.0,0.0,199.0,,Banana split,Ice cream and frozen dairy desserts,0.17,4.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Banana split
,,,,,,,,,,,1.09,22.8,0.33,0.0,0.0,371.0,,"Bananas, raw",Fruits and Fruit Juices,0.26,8.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Bananas, raw"
,,,,,,,,,,,0.73,20.1,0.22,0.0,0.0,85.0,,"Bananas, overripe, raw",Fruits and Fruit Juices,0.0,9.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Bananas, overripe, raw"
,,,,,,,,,,,2.47,53.07,17.51,0.0,0.0,379.0,,"Cake or cupcake, banana",Cakes and pies,0.88,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Cake or cupcake, banana"
,,,,,,,,,,,0.84,4.06,0.2,0.0,0.0,90.0,,"Melon, banana (Navajo)",American Indian/Alaska Native Foods,0.21,8.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Melon, banana (Navajo)"
,,,,,,,,,,,1.66,5.35,0.45,0.0,0.0,27.0,,"Pepper, banana, raw",Vegetables and Vegetable Products,0.46,82.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pepper, banana, raw"
,,,,,,,,,,,1.66,5.35,0.45,0.0,0.0,27.0,,"Peppers, banana, raw",Other vegetables and combinations,0.46,82.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Peppers, banana, raw"
,,,,,,,,,,,2.42,32.35,16.17,0.0,0.0,284.0,,"Pie, banana cream",Cakes and pies,0.6,0.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pie, banana cream"
,,,,,,,,,,,2.3,58.4,33.6,0.0,0.0,519.0,,"Snacks, banana chips",Snacks,1.25,6.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Snacks, banana chips"
,,,,,,,,,,,0.92,11.78,0.14,0.0,0.0,50.0,,"Orange, raw",Citrus fruits,0.22,56.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Orange, raw"
,,,,,,,,,,,0.3,66.3,0.0,0.0,0.0,246.0,,"Marmalade, orange",Sweets,0.15,4.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Marmalade, orange"
,,,,,,,,,,,0.57,9.32,0.26,0.0,0.0,98.0,,Orange Blossom,Liquor and cocktails,0.06,21.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Orange Blossom
,,,,,,,,,,,14.46,22.46,12.68,0.0,0.0,262.0,,Orange chicken,Stir-fry and soy-based sauce mixtures,0.94,0.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Orange chicken
,,,,,,,,,,,1.1,30.4,2.0,0.0,0.0,144.0,,"Sherbet, orange",Sweets,0.14,2.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Sherbet, orange"
,,,,,,,,,,,0.6,11.82,0.04,0.0,0.0,46.0,,"Orange, canned, NFS",Citrus fruits,0.26,33.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Orange, canned, NFS"
,,,,,,,,,,,0.0,12.3,0.0,0.0,0.0,201.0,,"Beverages, carbonated, orange",Beverages,0.06,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, carbonated, orange"
,,,,,,,,,,,1.5,25.0,0.2,0.0,0.0,405.0,,"Orange peel, raw",Fruits and Fruit Juices,0.8,136.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Orange peel, raw"
,,,,,,,,,,,0.59,14.07,0.04,0.0,0.0,55.0,,"Orange, canned, in syrup",Citrus fruits,0.26,32.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Orange, canned, in syrup"
,,,,,,,,,,,0.7,11.5,0.21,0.0,0.0,46.0,,"Oranges, raw, Florida",Fruits and Fruit Juices,0.09,45.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Oranges, raw, Florida"
,,,,,,,,,,,0.91,11.8,0.15,0.0,0.0,47.0,,"Oranges, raw, navels",Fruits and Fruit Juices,0.33,59.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Oranges, raw, navels"
,,,,,,,,,,,1.3,15.5,0.3,0.0,0.0,262.0,,"Oranges, raw, with peel",Fruits and Fruit Juices,0.8,71.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Oranges, raw, with peel"
,,,,,,,,,,,1.16,3.18,0.19,0.0,0.0,67.0,,"Tomatoes, orange, raw",Vegetables and Vegetable Products,0.47,16.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Tomatoes, orange, raw"
,,,,,,,,,,,0.9,19.4,0.2,0.0,0.0,83.0,,"Grapes, raw",Grapes,0.18,3.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grapes, raw"
,,,,,,,,,,,0.18,15.73,0.28,0.0,0.0,66.0,,"Grape juice, 100%",Other fruit juice,0.08,50.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grape juice, 100%"
,,,,,,,,,,,4.27,11.7,1.97,0.0,0.0,69.0,,"Grape leaves, canned",Vegetables and Vegetable Products,2.98,11.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grape leaves, canned"
,,,,,,,,,,,5.6,17.3,2.12,0.0,0.0,390.0,,"Grape leaves, raw",Vegetables and Vegetable Products,2.63,11.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grape leaves, raw"
,,,,,,,,,,,0.81,13.9,0.47,0.0,0.0,238.0,,"Grapes, muscadine, raw",Fruits and Fruit Juices,0.26,6.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grapes, muscadine, raw"
,,,,,,,,,,,0.83,5.51,0.63,0.0,0.0,27.0,,"Tomatoes, grape, raw",Vegetables and Vegetable Products,0.33,27.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Tomatoes, grape, raw"
,,,,,,,,,,,0.0,11.2,0.0,0.0,0.0,180.0,,"Beverages, carbonated, grape soda",Beverages,0.08,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, carbonated, grape soda"
,,,,,,,,,,,0.0,15.7,0.0,0.0,0.0,61.0,,"Beverages, grape drink, canned",Beverages,0.07,31.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, grape drink, canned"
,,,,,,,,,,,0.06,5.51,0.1,0.0,0.0,23.0,,"Grape juice drink, light",Fruit drinks,0.03,17.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grape juice drink, light"
,,,,,,,,,,,2.28,13.88,11.95,0.0,0.0,168.0,,Grape leaves stuffed with rice,Rice mixed dishes,1.25,5.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Grape leaves stuffed with rice
,,,,,,,,,,,0.0,14.6,0.0,0.0,0.0,237.0,,"Beverages, grape juice drink, canned",Beverages,0.13,26.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, grape juice drink, canned"
,,,,,,,,,,,0.21,13.2,0.0,0.0,0.0,224.0,,"Beverages, OCEAN SPRAY, Cran Grape",Beverages,0.04,28.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, OCEAN SPRAY, Cran Grape"
,,,,,,,,,,,0.37,14.77,0.13,0.0,0.0,62.0,,"Grape juice, 100%, with calcium added",Other fruit juice,0.25,25.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grape juice, 100%, with calcium added"
,,,,,,,,,,,8.15,11.3,17.03,0.0,0.0,228.0,,Stuffed grape leaves with beef and rice,Meat mixed dishes,1.91,9.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Stuffed grape leaves with beef and rice
,,,,,,,,,,,8.17,11.89,21.52,0.0,0.0,271.0,,Stuffed grape leaves with lamb and rice,Meat mixed dishes,1.83,8.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Stuffed grape leaves with lamb and rice
,,,,,,,,,,,0.82,14.98,0.38,0.0,0.0,60.0,,"Mango, raw",Mango and papaya,0.16,36.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango, raw"
,,,,,,,,,,,0.62,16.22,0.3,0.0,0.0,65.0,,"Mango, canned",Mango and papaya,0.12,21.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango, canned"
,,,,,,,,,,,0.82,14.98,0.38,0.0,0.0,60.0,,"Mango, frozen",Mango and papaya,0.16,36.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango, frozen"
,,,,,,,,,,,0.11,13.12,0.06,0.0,0.0,51.0,,Mango nectar,Fruit drinks,0.36,15.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Mango nectar
,,,,,,,,,,,2.45,78.58,1.18,0.0,0.0,319.0,,"Mango, dried",Dried fruits,0.23,42.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango, dried"
,,,,,,,,,,,0.82,15.0,0.38,0.0,0.0,60.0,,"Mangos, raw",Fruits and Fruit Juices,0.16,36.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mangos, raw"
,,,,,,,,,,,0.11,13.1,0.06,0.0,0.0,51.0,,"Mango nectar, canned",Fruits and Fruit Juices,0.36,15.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango nectar, canned"
,,,,,,,,,,,2.45,78.6,1.18,0.0,0.0,1340.0,,"Mango, dried, sweetened",Fruits and Fruit Juices,0.23,42.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango, dried, sweetened"
,,,,,,,,,,,1.22,7.76,0.0,0.0,0.0,37.0,,"Beverages, V8 SPLASH Smoothies, Peach Mango",Beverages,0.15,24.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, V8 SPLASH Smoothies, Peach Mango"
,,,,,,,,,,,7.64,11.8,1.69,0.0,0.0,93.0,,"Yogurt, Greek, 2% fat, mango, CHOBANI",Dairy and Egg Products,0.03,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Yogurt, Greek, 2% fat, mango, CHOBANI"
,,,,,,,,,,,0.0,8.23,0.0,0.0,0.0,33.0,,"Beverages, V8 SPLASH Juice Drinks, Mango Peach",Beverages,0.0,24.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, V8 SPLASH Juice Drinks, Mango Peach"
,,,,,,,,,,,0.41,11.4,0.0,0.0,0.0,49.0,,"Beverages, V8 V-FUSION Juices, Peach Mango",Beverages,0.15,24.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, V8 V-FUSION Juices, Peach Mango"
,,,,,,,,,,,0.42,15.0,0.0,0.0,0.0,262.0,,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",Fruits and Fruit Juices,0.15,2.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO"
,,,,,,,,,,,1.44,6.74,0.19,0.0,0.0,34.0,,"Salsa, red, homemade",Tomato-based condiments,0.42,1.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Salsa, red, homemade"
,,,,,,,,,,,0.37,15.18,0.15,0.0,0.0,59.0,,"Pear, raw",Pears,0.18,4.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, raw"
,,,,,,,,,,,0.11,15.76,0.01,0.0,0.0,60.0,,Pear nectar,Fruit drinks,0.26,1.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Pear nectar
,,,,,,,,,,,1.87,69.7,0.63,0.0,0.0,262.0,,"Pear, dried",Dried fruits,2.1,7.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, dried"
,,,,,,,,,,,0.36,15.2,0.14,0.0,0.0,57.0,,"Pears, raw",Fruits and Fruit Juices,0.18,4.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pears, raw"
,,,,,,,,,,,0.5,10.65,0.23,0.0,0.0,42.0,,"Pear, Asian, raw",Pears,0.0,3.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, Asian, raw"
,,,,,,,,,,,0.18,15.15,0.05,0.0,0.0,59.0,,"Pear, canned, in syrup",Pears,0.2,0.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, canned, in syrup"
,,,,,,,,,,,0.2,13.47,0.06,0.0,0.0,52.0,,"Pear, canned, NFS",Pears,0.25,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, canned, NFS"
,,,,,,,,,,,0.5,10.6,0.23,0.0,0.0,176.0,,"Pears, asian, raw",Fruits and Fruit Juices,0.0,3.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pears, asian, raw"
,,,,,,,,,,,0.38,15.1,0.16,0.0,0.0,238.0,,"Pears, raw, bartlett",Fruits and Fruit Juices,0.17,4.4,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pears, raw, bartlett"
,,,,,,,,,,,0.73,9.57,0.51,0.0,0.0,172.0,,"Prickly pears, raw",Fruits and Fruit Juices,0.3,14.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Prickly pears, raw"
,,,,,,,,,,,0.23,11.79,0.07,0.0,0.0,45.0,,"Pear, canned, juice pack",Pears,0.29,1.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pear, canned, juice pack"
,,,,,,,,,,,1.87,69.7,0.63,0.0,0.0,1100.0,,"Pears, dried, sulfured, uncooked",Fruits and Fruit Juices,2.1,7.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pears, dried, sulfured, uncooked"
,,,,,,,,,,,0.33,14.9,0.14,0.0,0.0,62.0,,"Pears, raw, red anjou",Fruits and Fruit Juices,0.19,5.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Pears, raw, red anjou"
,,,,,,,,,,,0.64,7.96,0.22,0.0,0.0,36.0,,"Strawberries, raw",Strawberries,0.26,59.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Strawberries, raw"
,,,,,,,,,,,0.56,23.53,0.26,0.0,0.0,92.0,,"Strawberries, canned",Strawberries,0.49,31.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Strawberries, canned"
